,Actual distance,,,,,UWB Reading,,,,,,,Robot Odom,,,,,
,X,Y,Distance X,Distance Y,,X,Y,Distance X,Distance Y,Error X,Error Y,,X,Y,Distance X,Distance Y,Error X,Error Y
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,2.448,0.84,,,,2.87,3.78,,,,,,0,0,,,,
,2.83,0.845,0.382,0.005,,2.76,4.01,0.11,0.23,-0.272,0.225,,0.5,0,0.5,0,0.118,-0.005
,3.209,0.877,0.379,0.032,,2.21,3.83,0.55,0.18,0.171,0.148,,1,0,0.5,0,0.121,-0.032
,3.594,0.903,0.385,0.026,,1.81,3.90,0.4,0.07,0.015,0.044,,1.5,0,0.5,0,0.115,-0.026
,3.97,0.94,0.376,0.037,,1.34,3.91,0.47,0.01,0.094,-0.027,,2,0,0.5,0,0.124,-0.037
,,,,,,,,,,,,,,,,,,
,1.31,0.79,,,,4.00,4.33,,,,,,0,0,,,,
,1.67,0.807,0.36,0.017,,3.92,4.40,0.08,0.07,-0.28,0.053,,0.5,0,0.5,0,0.14,-0.017
,2.05,0.814,0.38,0.007,,3.04,4.28,0.88,0.12,0.5,0.113,,1,0,0.5,0,0.12,-0.007
,2.427,0.853,0.377,0.039,,2.94,4.40,0.1,0.12,-0.277,0.081,,1.5,0,0.5,0,0.123,-0.039
,2.806,0.858,0.379,0.005,,2.83,4.50,0.11,0.10,-0.269,0.095,,2,0,0.5,0,0.121,-0.005
,3.185,0.892,0.379,0.034,,2.44,4.35,0.39,0.15,0.011,0.116,,2.5,0,0.5,0,0.121,-0.034
,,,,,,,,,,,,,,,,,,
Start ,1.31,0.85,,,,3.74,4.26,,,,,,0,0,,,,
,1.689,0.854,0.379,0.004,,3.88,4.40,0.14,0.14,-0.239,0.136,,0.5,0,0.5,0,0.121,-0.004
,2.069,0.884,0.38,0.03,,3.08,4.30,0.8,0.10,0.42,0.07,,1,0,0.5,0,0.12,-0.03
,2.457,0.888,0.388,0.004,,3.37,4.46,0.29,0.16,-0.098,0.156,,1.5,0,0.5,0,0.112,-0.004
,2.837,0.918,0.38,0.03,,3.23,4.59,0.14,0.13,-0.24,0.1,,2,0,0.5,0,0.12,-0.03
,3.217,0.95,0.38,0.032,,1.98,4.46,1.25,0.13,0.87,0.098,,2.5,0,0.5,0,0.12,-0.032
,3.607,0.983,0.39,0.033,,1.82,4.41,0.16,0.05,-0.23,0.017,,3,0,0.5,0,0.11,-0.033
,3.999,1.014,0.392,0.031,,1.26,4.45,0.56,0.04,0.168,0.009,,3.5,0,0.5,0,0.108,-0.031
,4.384,1.029,0.385,0.015,,1.35,4.63,0.09,0.18,-0.295,0.165,,4,0,0.5,0,0.115,-0.015
,4.779,1.045,0.395,0.016,,0.86,4.63,0.49,0,0.095,-0.016,,4.5,0,0.5,0,0.105,-0.016
,,,,,,,,,,,,,,,,,,
Start ,1.311,0.83,,,,3.89,4.32,,,,,,0,0,,,,
,1.695,0.867,0.384,0.037,,3.67,4.31,0.22,0.01,-0.164,-0.027,,0.5,0,0.5,0,0.116,-0.037
,2.084,0.891,0.389,0.024,,3.04,4.36,0.63,0.05,0.241,0.026,,1,0,0.5,0,0.111,-0.024
,2.467,0.901,0.383,0.01,,3.40,4.44,0.36,0.08,-0.023,0.07,,1.5,0,0.5,0,0.117,-0.01
,2.855,0.907,0.388,0.006,,2.86,4.35,0.54,0.09,0.152,0.084,,2,0,0.5,0,0.112,-0.006
,3.241,0.91,0.386,0.003,,2.48,4.18,0.38,0.17,-0.006,0.167,,2.5,0,0.5,0,0.114,-0.003
,3.631,0.947,0.39,0.037,,1.77,4.46,0.71,0.28,0.32,0.243,,3,0,0.5,0,0.11,-0.037
,4.019,0.971,0.388,0.024,,1.75,4.50,0.02,0.04,-0.368,0.016,,3.5,0,0.5,0,0.112,-0.024
,4.414,0.988,0.395,0.017,,1.31,4.85,0.44,0.35,0.045,0.333,,4,0,0.5,0,0.105,-0.017
,,,,,,,,,,,,,,,,,,
Start,1.311,0.83,,,,4.18,4.57,,,,,,0,0,,,,
,1.688,0.84,0.377,0.01,,3.81,4.41,0.37,0.16,-0.007,0.15,,0.5,0,0.5,0,0.123,-0.01
,2.07,0.856,0.382,0.016,,3.08,4.35,0.73,0.06,0.348,0.044,,1,0,0.5,0,0.118,-0.016
,2.457,0.868,0.387,0.012,,3.38,4.51,0.3,0.16,-0.087,0.148,,1.5,0,0.5,0,0.113,-0.012
,2.85,0.884,0.393,0.016,,2.62,4.33,0.76,0.18,0.367,0.164,,2,0,0.5,0,0.107,-0.016
,3.242,0.923,0.392,0.039,,2.48,4.23,0.14,0.1,-0.252,0.061,,2.5,0,0.5,0,0.108,-0.039
,3.628,0.938,0.386,0.015,,1.87,4.70,0.61,0.47,0.224,0.455,,3,0,0.5,0,0.114,-0.015
,4.009,0.965,0.381,0.027,,1.71,4.57,0.16,0.13,-0.221,0.103,,3.5,0,0.5,0,0.119,-0.027
,4.396,0.976,0.387,0.011,,1.21,4.96,0.5,0.39,0.113,0.379,,4,0,0.5,0,0.113,-0.011
,4.787,0.984,0.391,0.008,,1.13,4.83,0.08,0.13,-0.311,0.122,,4.5,0,0.5,0,0.109,-0.008
